tract,Year,City,LACity,Community_Name,SPA,SD,CD,ca_ssd,ca_sad,us_cd,DemogSurvCt,SheltHmisCt,ShelterCountAny,StreetCountAny,totStreetSingAdult,totStreetFamHH,totStreetFamMem,totSafeParkSingAdult,totSafeParkFamHH,totSafeParkFamMem,totCars,totVans,totCampers,totTents,totEncamp,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totEncampPeople,FamCarHH,FamVanHH,FamCamperHH,FamTentHH,FamEncampHH,FamCarPeople,FamVanPeople,FamCamperPeople,FamTentPeople,FamEncampPeople,IndCarPeople,IndVanPeople,IndCamperPeople,IndTentPeople,IndEncampPeople,totESAdultSingAdult,totESAdultFamHH,totESAdultFamMem,totESYouthSingYouth,totESYouthFamHH,totESYouthFamMem,totESYouthUnaccYouth,totTHAdultSingAdult,totTHAdultFamHH,totTHAdultFamMem,totTHYouthSingYouth,totTHYouthFamHH,totTHYouthFamMem,totTHYouthUnaccYouth,totSHAdultSingAdult,totSHAdultFamHH,totSHAdultFamMem,totSHYouthSingYouth,totSHYouthFamHH,totSHYouthFamMem,totSHYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
208401,2020,Los Angeles,1,Westlake,4,1,13,24,51,34,0,0,0,2,5,0,0,0,0,0,1,0,1,0,4,1.512,0,1.421,0,6.712,0.063,0,0.043,0,0.076,0.218,0,0.155,0,0.264,1.295,0,1.266,0,6.447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.645,0,0,0,0,14.645
208402,2020,Los Angeles,1,Westlake,4,1,13,24,51,34,18,0,0,2,66,0,0,0,0,0,38,32,29,71,44,57.461,56.77,41.204,104.927,73.826,2.386,1.383,1.249,0.904,0.836,8.271,5.268,4.5,3.07,2.911,49.192,51.501,36.704,101.857,70.916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400.186,0,0,0,0,400.186
208501,2020,Los Angeles,1,Westlake,4,1,13,24,51,34,0,0,0,2,3,0,0,0,0,0,1,0,2,3,2,1.512,0,2.842,4.434,3.356,0.063,0,0.086,0.038,0.038,0.218,0,0.31,0.13,0.132,1.295,0,2.531,4.304,3.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.143,0,0,0,0,15.143
208502,2020,Los Angeles,1,Westlake,4,1,13,24,51,34,0,0,0,2,6,0,0,0,0,0,4,8,1,0,3,6.049,14.193,1.421,0,5.034,0.251,0.346,0.043,0,0.057,0.871,1.317,0.155,0,0.198,5.178,12.875,1.266,0,4.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.696,0,0,0,0,32.696
208610,2020,Los Angeles,1,Westlake,4,1,13,24,51,34,0,0,1,2,4,0,0,0,0,0,0,2,2,1,2,0,3.548,2.842,1.478,3.356,0,0.086,0.086,0.013,0.038,0,0.329,0.31,0.043,0.132,0,3.219,2.531,1.435,3.223,0,0,0,0,0,0,0,0,0,0,10,40,90,1,0,0,0,0,0,0,0,15.223,0,101,0,101,116.22
208620,2020,Los Angeles,1,Westlake,4,1,13,24,51,34,0,0,0,4,1,0,0,0,0,0,1,4,5,0,0,1.512,7.096,7.104,0,0,0.063,0.172,0.215,0,0,0.218,0.659,0.776,0,0,1.295,6.437,6.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.713,0,0,0,0,16.713
208710,2020,Los Angeles,1,Westlake,4,2,1,24,53,34,0,0,0,1,2,0,0,0,0,0,1,0,0,0,3,1.512,0,0,0,5.034,0.063,0,0,0,0.057,0.218,0,0,0,0.198,1.295,0,0,0,4.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.546,0,0,0,0,8.546
208720,2020,Los Angeles,1,Westlake,4,2,1,24,53,34,0,0,0,2,12,0,0,0,0,0,0,0,0,2,1,0,0,0,2.956,1.678,0,0,0,0.025,0.019,0,0,0,0.086,0.066,0,0,0,2.869,1.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.634,0,0,0,0,16.634
208801,2020,Los Angeles,1,Westlake,4,1,1,24,53,34,0,0,0,2,77,0,0,0,0,0,8,3,1,5,13,12.097,5.322,1.421,7.389,21.812,0.503,0.129,0.043,0.064,0.247,1.741,0.494,0.155,0.216,0.86,10.356,4.828,1.266,7.173,20.952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.043,0,0,0,0,125.043
208802,2020,Los Angeles,1,Westlake,4,1,1,24,53,34,0,0,1,2,4,0,0,0,0,0,0,5,0,7,2,0,8.87,0,10.345,3.356,0,0.216,0,0.089,0.038,0,0.823,0,0.303,0.132,0,8.047,0,10.042,3.223,134,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.571,135,0,0,135,161.57
