tract_split,Year,City,LACity,Community_Name,SPA,SD,CD,ca_ssd,ca_sad,us_cd,DemogSurvCt,SheltHmisCt,DemogSurveyAny,ShelterCountAny,StreetCountAny,totStreetSingAdult,totStreetFamHH,totStreetFamMem,totSafeParkSingAdult,totSafeParkFamHH,totSafeParkFamMem,totCars,totVans,totCampers,totTents,totMSS,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totMSSPeople,FamCarHH,FamVanHH,FamCamperHH,FamTentHH,FamMSSHH,FamCarPeople,FamVanPeople,FamCamperPeople,FamTentPeople,FamMSSPeople,IndCarPeople,IndVanPeople,IndCamperPeople,IndTentPeople,IndMSSPeople,totESAdultSingAdult,totESAdultFamHH,totESAdultFamMem,totESYouthSingYouth,totESYouthFamHH,totESYouthFamMem,totESYouthUnaccYouth,totTHAdultSingAdult,totTHAdultFamHH,totTHAdultFamMem,totTHYouthSingYouth,totTHYouthFamHH,totTHYouthFamMem,totTHYouthUnaccYouth,totSHAdultSingAdult,totSHAdultFamHH,totSHAdultFamMem,totSHYouthSingYouth,totSHYouthFamHH,totSHYouthFamMem,totSHYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
228420b,2022,Los Angeles,1,Historic South-Central,6,2,9,30,59,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228500,2022,Los Angeles,1,South Park,6,2,9,30,59,40,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,33,33
228600,2022,Los Angeles,1,South Park,6,2,9,30,59,40,5,0,1,1,1,21,0,0,4,0,0,6,13,18,13,15,7.97,15.618,28.841,15.301,22.932,0.281,0.238,0.341,0.025,0.057,0.911,0.74,1.394,0.085,0.17,7.058,14.878,27.446,15.215,22.762,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.66,2,0,0,2,117.66
228710a,2022,Los Angeles,1,Central-Alameda,6,2,9,33,59,40,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2.403,0,0,0,0,0.037,0,0,0,0,0.114,0,0,0,0,2.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.403,0,0,0,0,2.403
228710b,2022,Los Angeles,1,Central-Alameda,6,2,9,33,59,40,0,31,0,1,1,8,0,0,0,0,0,3,0,1,3,0,3.985,0,1.602,3.531,0,0.14,0,0.019,0.006,0,0.456,0,0.077,0.02,0,3.529,0,1.525,3.511,0,18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.118,20,0,0,20,37.118
228720,2022,Los Angeles,1,Central-Alameda,6,2,9,33,59,40,0,0,0,0,1,4,0,0,0,0,0,5,9,3,0,2,6.641,10.813,4.807,0,3.058,0.234,0.165,0.057,0,0.008,0.759,0.512,0.232,0,0.023,5.882,10.3,4.574,0,3.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.318,0,0,0,0,29.318
228800,2022,Los Angeles,1,Central-Alameda,6,2,9,33,59,40,0,0,0,0,1,11,0,0,0,0,0,12,11,5,5,8,15.939,13.215,8.011,5.885,12.23,0.562,0.202,0.095,0.01,0.03,1.823,0.626,0.387,0.033,0.091,14.116,12.589,7.624,5.852,12.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.281,0,0,0,0,66.281
228900a,2022,Los Angeles,1,Central-Alameda,6,2,9,33,59,40,3,0,1,0,1,5,0,0,0,0,0,22,18,5,0,2,29.222,21.625,8.011,0,3.058,1.03,0.33,0.095,0,0.008,3.341,1.025,0.387,0,0.023,25.88,20.6,7.624,0,3.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.916,0,0,0,0,66.916
228900b,2022,Los Angeles,1,Central-Alameda,6,2,9,33,59,40,8,0,1,0,1,1,0,0,0,0,0,0,0,9,0,5,0,0,14.42,0,7.644,0,0,0.171,0,0.019,0,0,0.697,0,0.057,0,0,13.723,0,7.587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.064,0,0,0,0,23.064
229100a,2022,Los Angeles,1,Central-Alameda,6,2,9,33,59,40,0,0,0,0,1,1,0,0,0,0,0,10,10,1,0,0,13.283,12.014,1.602,0,0,0.468,0.183,0.019,0,0,1.519,0.569,0.077,0,0,11.764,11.445,1.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.899,0,0,0,0,27.899
229100b,2022,Los Angeles,1,Central-Alameda,6,2,9,33,59,40,0,0,0,0,1,1,0,0,0,0,0,9,4,2,1,0,11.954,4.806,3.205,1.177,0,0.421,0.073,0.038,0.002,0,1.367,0.228,0.155,0.007,0,10.587,4.578,3.05,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.141,0,0,0,0,22.141
229200a,2022,Los Angeles,1,South Park,6,2,9,30,59,40,3,41,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,4.807,0,0,0,0,0.057,0,0,0,0,0.232,0,0,0,0,4.574,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.807,13,0,0,13,17.807
229200b,2022,Los Angeles,1,South Park,6,2,9,30,59,40,1,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,3.205,1.177,0,0,0,0.038,0.002,0,0,0,0.155,0.007,0,0,0,3.05,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.382,0,0,0,0,4.382
229300,2022,Los Angeles,1,South Park,6,2,9,30,59,40,0,0,0,0,1,3,0,0,0,0,0,2,5,5,0,0,2.657,6.007,8.011,0,0,0.094,0.092,0.095,0,0,0.304,0.285,0.387,0,0,2.353,5.722,7.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.675,0,0,0,0,19.675
229410,2022,Los Angeles,1,South Park,6,2,9,30,59,40,0,0,0,0,1,12,0,0,0,0,0,4,5,20,2,10,5.313,6.007,32.045,2.354,15.288,0.187,0.092,0.379,0.004,0.038,0.608,0.285,1.549,0.013,0.113,4.705,5.722,30.496,2.341,15.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.007,0,0,0,0,73.007
229420,2022,Los Angeles,1,South Park,6,2,9,30,59,40,0,0,0,0,1,12,0,0,0,0,0,5,6,7,1,7,6.641,7.208,11.216,1.177,10.702,0.234,0.11,0.133,0.002,0.026,0.759,0.342,0.542,0.007,0.079,5.882,6.867,10.674,1.17,10.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.944,0,0,0,0,48.944
231100a,2022,Los Angeles,1,Historic South-Central,6,2,9,30,59,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
