tract,Year,City,LACity,Community_Name,SPA,SD,CD,DemogSurvCt,YouthSurvCt,SheltHmisCt,ShelterCountAny,StreetCountAny,totStreetSingAdult,totStreetFamHH,totStreetFamMem,totCars,totVans,totCampers,totTents,totMakeshift,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totMakeshiftPeople,FamCarHH,FamVanHH,FamCamperHH,FamTentHH,FamMakeshiftHH,FamCarPeople,FamVanPeople,FamCamperPeople,FamTentPeople,FamMakeshiftPeople,IndCarPeople,IndVanPeople,IndCamperPeople,IndTentPeople,IndMakeshiftPeople,totESAdultSingAdult,totESAdultFamHH,totESAdultFamMem,totESYouthSingYouth,totESYouthFamHH,totESYouthFamMem,totESYouthUnaccYouth,totTHAdultSingAdult,totTHAdultFamHH,totTHAdultFamMem,totTHYouthSingYouth,totTHYouthFamHH,totTHYouthFamMem,totTHYouthUnaccYouth,totSHAdultSingAdult,totSHAdultFamHH,totSHAdultFamMem,totSHYouthSingYouth,totSHYouthFamHH,totSHYouthFamMem,totSHYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
482800,2019,Monterey Park,2,Monterey Park,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500100,2019,La Habra Heights/Unincorporated,2,La Habra Heights/Unincorporated La Habra Heights,7,4,0,0,0,0,0,1,15,0,0,4,3,2,0,1,5.351,4.096,3.72,0,1.701,0,0,0.043,0,0,0,0,0.136,0,0,5.351,4.096,3.584,0,1.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.868,0,0,0,0,29.868
500201,2019,La Habra Heights/Whittier,2,La Habra Heights/Whittier,7,4,0,0,0,0,0,1,2,0,0,2,3,1,0,0,2.676,4.096,1.86,0,0,0,0,0.021,0,0,0,0,0.068,0,0,2.676,4.096,1.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.631,0,0,0,0,10.631
500202,2019,Whittier,2,Whittier,7,4,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,1.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.701,0,0,0,0,5.701
500300,2019,Industry/Pico Rivera/Other,2,Industry/Pico Rivera/Other,7,4,0,0,0,0,0,1,8,0,0,1,0,2,3,6,1.338,0,3.72,3.163,10.208,0,0,0.043,0,0,0,0,0.136,0,0,1.338,0,3.584,3.163,10.208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.428,0,0,0,0,26.428
500402,2019,Pico Rivera,2,Pico Rivera,7,1,0,0,0,0,0,1,7,0,0,4,0,0,0,0,5.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.351,0,0,0,0,12.351
500403,2019,Pico Rivera/Unincorporated,2,Pico Rivera/Unincorporated North Whittier,7,1,0,0,0,0,0,1,6,0,0,3,0,0,0,1,4.013,0,0,0,1.701,0,0,0,0,0,0,0,0,0,0,4.013,0,0,0,1.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.715,0,0,0,0,11.715
500404,2019,Pico Rivera,2,Pico Rivera,7,1,0,0,0,0,0,1,1,0,0,0,2,0,5,0,0,2.731,0,5.272,0,0,0,0,0,0,0,0,0,0,0,0,2.731,0,5.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.002,0,0,0,0,9.002
500500,2019,Pico Rivera,2,Pico Rivera,7,1,0,0,0,0,0,1,0,0,0,2,0,2,0,0,2.676,0,3.72,0,0,0,0,0.043,0,0,0,0,0.136,0,0,2.676,0,3.584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.395,0,0,0,0,6.395
500600,2019,Pico Rivera,2,Pico Rivera,7,1,0,0,0,0,0,1,5,0,0,2,0,1,0,0,2.676,0,1.86,0,0,0,0,0.021,0,0,0,0,0.068,0,0,2.676,0,1.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.535,0,0,0,0,9.535
500700,2019,Pico Rivera,2,Pico Rivera,7,1,0,11,0,0,0,1,12,0,0,4,3,1,0,5,5.351,4.096,1.86,0,8.507,0,0,0.021,0,0,0,0,0.068,0,0,5.351,4.096,1.792,0,8.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.813,0,0,0,0,31.813
500800,2019,Pico Rivera,2,Pico Rivera,7,1,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,3.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.403,0,0,0,0,5.403
500900,2019,Pico Rivera,2,Pico Rivera,7,1,0,0,0,0,0,1,6,0,0,6,1,4,0,0,8.027,1.365,7.439,0,0,0,0,0.086,0,0,0,0,0.272,0,0,8.027,1.365,7.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.831,0,0,0,0,22.831
501001,2019,Pico Rivera/Unincorporated,2,Pico Rivera/Unincorporated West Whittier,7,4,0,0,0,0,0,1,2,0,0,0,0,0,0,5,0,0,0,0,8.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.507,0,0,0,0,10.507
501002,2019,Unincorporated,2,Unincorporated West Whittier,7,4,0,0,0,0,0,1,0,0,0,1,1,3,0,0,1.338,1.365,5.579,0,0,0,0,0.064,0,0,0,0,0.204,0,0,1.338,1.365,5.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.283,0,0,0,0,8.283
501200,2019,Unincorporated/Whittier,2,Unincorporated West Whittier/Whittier,7,4,0,0,0,0,0,1,5,0,0,0,0,1,0,1,0,0,1.86,0,1.701,0,0,0.021,0,0,0,0,0.068,0,0,0,0,1.792,0,1.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.561,0,0,0,0,8.561
