tract_split_base,year,lacity,spa,sd,cd,ca_ssd,ca_sad,us_cd,demogsurvct,shelthmisct,demogsurveyany,sheltercountany,streetcountany,totstreetsingadult,totstreetfamhh,totstreetfammem,totsafeparksingadult,totsafeparkfamhh,totsafeparkfammem,totcars,totvans,totcampers,tottents,totmss,totcarpeople,totvanpeople,totcamperpeople,tottentpeople,totmsspeople,famcarhh,famvanhh,famcamperhh,famtenthh,fammsshh,famcarpeople,famvanpeople,famcamperpeople,famtentpeople,fammsspeople,indcarpeople,indvanpeople,indcamperpeople,indtentpeople,indmsspeople,totesadultsingadult,totesadultfamhh,totesadultfammem,totesyouthsingyouth,totesyouthfamhh,totesyouthfammem,totesyouthunaccyouth,totthadultsingadult,totthadultfamhh,totthadultfammem,totthyouthsingyouth,totthyouthfamhh,totthyouthfammem,totthyouthunaccyouth,totshadultsingadult,totshadultfamhh,totshadultfammem,totshyouthsingyouth,totshyouthfamhh,totshyouthfammem,totshyouthunaccyouth,totunsheltpeople,totespeople,totthpeople,totshpeople,totsheltpeople,totpeople,GEOID
406701,2022,2,3,1,0,22,48,32,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,2.905,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,2.883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.905,0,0,0,0,3.905,06037406701
406702,2022,2,3,1,0,22,48,32,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0.0,1.203,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.057,0.0,0.0,0.0,0.0,1.146,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.203,0,0,0,0,2.203,06037406702
406800,2022,2,3,1,0,22,48,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,06037406800
406901,2022,2,3,1,0,22,48,32,0,0,0,0,3,6,0,0,0,0,0,0,3,0,1,0,0.0,3.6090000000000004,0.0,1.192,0.0,0.0,0.055,0.0,0.002,0.0,0.0,0.17099999999999999,0.0,0.007,0.0,0.0,3.4379999999999997,0.0,1.185,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.800999999999998,0,0,0,0,10.800999999999998,06037406901
406902,2022,2,3,1,0,22,32,32,0,0,0,0,2,8,0,0,0,0,0,1,1,1,0,0,1.336,1.203,1.951,0.0,0.0,0.047,0.018,0.019,0.0,0.0,0.152,0.057,0.077,0.0,0.0,1.184,1.146,1.874,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.489999999999998,0,0,0,0,12.489999999999998,06037406902
407001,2022,2,3,1,0,22,48,32,0,0,0,0,2,5,0,0,0,0,0,0,0,2,0,0,0.0,0.0,3.902,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.154,0.0,0.0,0.0,0.0,3.748,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.902,0,0,0,0,8.902,06037407001
407002,2022,2,3,1,0,22,48,32,0,0,0,0,2,9,0,0,0,0,0,2,0,0,2,7,2.671,0.0,0.0,2.384,10.168999999999999,0.094,0.0,0.0,0.004,0.027,0.304,0.0,0.0,0.013,0.079,2.367,0.0,0.0,2.371,10.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.224,0,0,0,0,24.224,06037407002
407101,2022,2,3,1,0,22,57,32,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.951,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0.0,1.874,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.951,0,0,0,0,3.951,06037407101
407102,2022,2,3,1,0,22,57,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,06037407102
407200,2022,2,3,1,0,22,57,32,0,0,0,0,1,60,0,0,0,0,0,0,2,2,0,10,0.0,2.406,3.903,0.0,14.527,0.0,0.037,0.038,0.0,0.038,0.0,0.114,0.155,0.0,0.113,0.0,2.292,3.748,0.0,14.414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.836,0,0,0,0,80.836,06037407200
